cubeJuliaTimeStep, cubeRomeo.position.x, cubeRomeo.velocity.x,cubeRomeo.mass, cubeRomeoImpulse, cubeRomeoKinetic, cubeJulia.position.x, cubeJulia.velocity.x,cubeJulia.mass, cubeJuliaImpulse, velocityEnd, cubeKineticEnd, forceOnJulia 
1.679999,-1.763598,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.699999,-1.722798,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.719999,-1.681998,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.739999,-1.641198,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.759999,-1.600398,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.779999,-1.559598,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.799999,-1.518798,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.819999,-1.477998,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.839999,-1.437198,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.859999,-1.396398,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.879999,-1.355598,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.899999,-1.314798,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.919999,-1.273998,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.939999,-1.233199,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.959999,-1.192399,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.979999,-1.151599,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
1.999999,-1.110799,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.019999,-1.069999,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.039999,-1.029199,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.059999,-0.9883987,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.079999,-0.9475987,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.099999,-0.9067987,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.119999,-0.8659987,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.139999,-0.8251988,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.159999,-0.7843988,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.179999,-0.7435988,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.199999,-0.7027988,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.219999,-0.6619989,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.239999,-0.6211989,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.259999,-0.5803989,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.279999,-0.5395989,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.299999,-0.498799,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.319999,-0.457999,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.339998,-0.417199,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.359998,-0.376399,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
