currentTimeStep, cubeRomeo.position.x, cubeRomeo.position.y,alphaRomeo,degree,horizonForceRomeo,verticalForceRomeo, -frictionForceRomeo.x + horizonForceRomeo, -frictionForceRomeo.y + verticalForceRomeo, -frictionForceRomeo.z + zAxisForceRomeo
48.7162,-19.9195,0.7568531,-0.01582232,-0.9065519,-0.3103826,19.61513,-0.3102205,19.61513,2.093E-10
48.7212,-19.91956,0.7568526,-0.01581309,-0.9060231,-0.3102017,19.61514,-0.3100156,19.61514,2.246372E-10
48.7262,-19.91962,0.756852,-0.01580322,-0.9054579,-0.3100083,19.61515,-0.3097956,19.61515,2.401793E-10
48.7312,-19.91968,0.7568513,-0.01579272,-0.9048562,-0.3098025,19.61516,-0.3095619,19.61516,2.556134E-10
48.73621,-19.91975,0.7568506,-0.01578158,-0.9042181,-0.3095842,19.61518,-0.3093135,19.61518,2.711435E-10
48.74121,-19.91982,0.7568498,-0.01576981,-0.9035434,-0.3093534,19.61519,-0.3090519,19.61519,2.865556E-10
48.74621,-19.91989,0.756849,-0.0157574,-0.9028323,-0.3091102,19.61521,-0.3087751,19.61521,3.020787E-10
48.75121,-19.91997,0.7568481,-0.01574435,-0.9020848,-0.3088544,19.61522,-0.3084852,19.61522,3.175269E-10
48.75621,-19.92005,0.7568471,-0.01573067,-0.9013008,-0.3085862,19.61524,-0.30818,19.61524,3.330395E-10
48.76121,-19.92014,0.7568461,-0.01571634,-0.9004802,-0.3083055,19.61526,-0.3078619,19.61526,3.485201E-10
48.76621,-19.92023,0.7568451,-0.01570139,-0.8996232,-0.3080123,19.61527,-0.3075283,19.61528,3.640187E-10
48.77121,-19.92032,0.7568439,-0.01568579,-0.8987299,-0.3077067,19.61529,-0.3071821,19.6153,3.795283E-10
48.77621,-19.92042,0.7568427,-0.01566956,-0.8977998,-0.3073885,19.61531,-0.3068202,19.61532,3.950094E-10
48.78122,-19.92052,0.7568415,-0.0156527,-0.8968335,-0.3070579,19.61533,-0.3064457,19.61534,4.105444E-10
48.78622,-19.92063,0.7568402,-0.01563519,-0.8958306,-0.3067148,19.61535,-0.3060556,19.61536,4.260045E-10
