currentTimeStep, cubeJulia.position.x, cubeJulia.position.y, alphaJulia, degree, horizonForceJulia, verticalForceJulia, -frictionForceJulia.x + horizonForceJulia, -frictionForceJulia.y + verticalForceJulia, -frictionForceJulia.z + zAxisForceJulia
68.23214,-21.58912,0.7537979,0.01300322,0.7450296,0.2551276,19.61924,0.2437508,19.61938,-2.006241E-09
68.24213,-21.58868,0.7537923,0.01292974,0.7408195,0.2536867,19.61931,0.2421543,19.61946,-2.020573E-09
68.25213,-21.58823,0.7537867,0.01285562,0.736573,0.2522333,19.61938,0.2405453,19.61953,-2.034818E-09
68.26212,-21.58779,0.7537811,0.01278119,0.7323083,0.2507736,19.61946,0.2389301,19.6196,-2.048975E-09
68.27212,-21.58734,0.7537755,0.01270612,0.7280071,0.2493015,19.61953,0.2373025,19.61968,-2.063043E-09
68.28211,-21.58688,0.7537698,0.01263073,0.7236877,0.2478231,19.6196,0.2356687,19.61975,-2.077021E-09
68.29211,-21.58643,0.7537642,0.01255471,0.7193319,0.2463322,19.61967,0.2340225,19.61982,-2.09091E-09
68.3021,-21.58597,0.7537585,0.01247837,0.7149578,0.2448351,19.61974,0.2323701,19.6199,-2.104708E-09
68.3121,-21.58551,0.7537528,0.01240139,0.7105473,0.2433255,19.61982,0.2307055,19.61997,-2.118414E-09
68.32209,-21.58504,0.7537472,0.01232409,0.7061186,0.2418096,19.61989,0.2290348,19.62004,-2.132028E-09
68.33208,-21.58458,0.7537415,0.01224616,0.7016534,0.2402812,19.61996,0.2273518,19.62012,-2.145549E-09
68.34208,-21.58411,0.7537358,0.01216791,0.6971701,0.2387467,19.62003,0.2256628,19.62019,-2.158977E-09
68.35207,-21.58364,0.7537302,0.01208935,0.6926685,0.2372058,19.62011,0.2239678,19.62026,-2.172311E-09
68.36207,-21.58316,0.7537245,0.01201014,0.6881304,0.2356524,19.62018,0.222257,19.62034,-2.184426E-09
68.37206,-21.58269,0.7537189,0.01193062,0.6835741,0.2340928,19.62025,0.2205402,19.62041,-2.19643E-09
68.38206,-21.5822,0.7537133,0.01185046,0.6789814,0.2325207,19.62032,0.2188113,19.62048,-2.208321E-09
68.39205,-21.58172,0.7537076,0.01176998,0.6743705,0.2309424,19.6204,0.2170764,19.62056,-2.2201E-09
68.40205,-21.58124,0.753702,0.01168887,0.6697231,0.2293516,19.62047,0.2153294,19.62063,-2.231765E-09
68.41204,-21.58075,0.7536964,0.01160744,0.6650574,0.2277544,19.62053,0.213599,19.6207,-2.250666E-09
68.42204,-21.58026,0.7536908,0.01152569,0.6603736,0.2261511,19.62061,0.2118441,19.62077,-2.263316E-09
68.43203,-21.57976,0.7536852,0.01144331,0.6556534,0.2245353,19.62068,0.2100773,19.62084,-2.275876E-09
68.44202,-21.57927,0.7536796,0.01136061,0.6509148,0.2229132,19.62075,0.2083047,19.62091,-2.288337E-09
68.45202,-21.57877,0.7536741,0.01127759,0.6461582,0.2212849,19.62082,0.2065264,19.62098,-2.300698E-09
68.46201,-21.57827,0.7536685,0.01119393,0.641365,0.2196441,19.62089,0.2047362,19.62106,-2.312958E-09
68.47201,-21.57776,0.753663,0.01110996,0.6365536,0.217997,19.62096,0.2029403,19.62112,-2.325118E-09
68.482,-21.57726,0.7536575,0.01102566,0.631724,0.2163436,19.62103,0.2011387,19.62119,-2.337175E-09
68.492,-21.57675,0.753652,0.01094074,0.6268579,0.2146778,19.6211,0.1993253,19.62127,-2.34913E-09
68.50199,-21.57624,0.7536465,0.01085549,0.6219736,0.2130057,19.62117,0.1975063,19.62133,-2.360982E-09
68.51199,-21.57573,0.753641,0.01076992,0.6170712,0.2113274,19.62124,0.1956818,19.6214,-2.37273E-09
68.52198,-21.57521,0.7536355,0.01068404,0.6121504,0.2096428,19.62131,0.1938516,19.62147,-2.384375E-09
68.53197,-21.57469,0.7536301,0.01059752,0.6071933,0.2079457,19.62137,0.1920098,19.62154,-2.395916E-09
68.54197,-21.57417,0.7536247,0.01051069,0.6022179,0.2062424,19.62144,0.1901625,19.62161,-2.407351E-09
